,Month,Date,Material,Pit,Reduced Level,Site Mixed Emulsion(Kg),Emulboost 125gm,Emulboost 250gm,DTH 6M,DTH 8M,DTH 10m,DTH 12m,TLD 5m (17ms),TLD 5m (25ms),TLD 5m (42ms),TLD 5m (65ms),TLD 5m (100ms),Electronic Detonator,Number Of Hole,Spacing,Burden,Meterage Blasted,Total Blasted Volume,Bulk Density,Total Blasted Tonnage,Powder Factor,Yield,Total Booster Explosive(Kg),Booster Ratio
141,January'23,2023-09-01,FO,Pit3,660,15740,126.0,126.0,0.0,126.0,0.0,126.0,0.0,59.0,30.0,42.0,0.0,2.0,126,4.0,4.0,1386,22176.0,3.5,79168.32,5.03,57.12,47.25,0.0030019059720457434
142,January'23,2023-09-01,OB,Pit3,670,2520,42.0,0.0,42.0,0.0,0.0,0.0,0.0,10.0,32.0,0.0,0.0,2.0,42,4.0,3.5,210,2940.0,3.0,8996.4,3.57,42.84,5.25,0.0020833333333333333
143,January'23,2023-10-01,FO,Pit1,700,10460,85.0,85.0,0.0,85.0,0.0,85.0,0.0,35.0,36.0,17.0,0.0,2.0,85,4.0,3.5,893,14288.0,3.5,51008.16,4.88,57.12,31.88,0.0030478011472275333
144,January'23,2023-10-01,HO,Pit1,710,2800,40.0,0.0,0.0,40.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0,2.0,40,4.0,3.5,240,3360.0,4.0,13708.8,4.9,57.12,5.0,0.0017857142857142857
145,January'23,2023-01-13,HO,Pit1,710,2100,25.0,0.0,0.0,25.0,0.0,0.0,0.0,17.0,10.0,0.0,0.0,2.0,25,4.0,3.5,175,2450.0,4.0,9996.0,4.76,57.12,3.12,0.0014857142857142857
146,January'23,2023-01-13,FO,Pit1,690,7900,94.0,0.0,0.0,94.0,0.0,0.0,7.0,14.0,31.0,32.0,15.0,2.0,94,4.0,4.0,658,10528.0,3.5,37584.96,4.76,57.12,11.75,0.0014873417721518987
147,January'23,2023-01-13,FO,Pit3,670,5090,38.0,38.0,0.0,0.0,0.0,38.0,0.0,23.0,0.0,20.0,0.0,2.0,38,4.0,3.5,380,6080.0,3.5,21705.6,4.26,57.12,14.25,0.002799607072691552
148,January'23,2023-01-16,HO,Pit1,710,12710,66.0,76.0,0.0,66.0,0.0,76.0,28.0,25.0,15.0,13.0,0.0,2.0,76,4.0,3.5,836,11704.0,4.0,47752.32,3.76,57.12,27.25,0.002143981117230527
149,January'23,2023-01-19,HO,Pit1,690,9000,91.0,0.0,0.0,0.0,91.0,0.0,20.0,30.0,15.0,17.0,13.0,2.0,91,4.0,3.5,728,10192.0,4.0,41583.36,4.62,57.12,11.38,0.0012644444444444446
150,January'23,2023-01-19,HO,Pit1,700,10700,80.0,80.0,0.0,80.0,0.0,80.0,32.0,23.0,0.0,33.0,0.0,2.0,80,4.0,3.5,840,11760.0,4.0,47980.8,4.48,57.12,30.0,0.002803738317757009
151,January'23,2023-01-23,HO,Pit1,700,13000,87.0,87.0,0.0,87.0,0.0,87.0,0.0,35.0,35.0,20.0,0.0,2.0,87,4.0,3.5,913,12782.0,4.0,52150.56,4.01,57.12,32.62,0.0025092307692307692
152,January'23,2023-01-23,HO,Pit1,690,8840,82.0,82.0,0.0,0.0,0.0,0.0,35.0,17.0,17.0,17.0,0.0,2.0,82,4.0,3.5,656,9184.0,4.0,37470.72,4.24,57.12,30.75,0.0034785067873303165
153,January'23,2023-01-25,SG,Pit2,680,14450,96.0,87.0,0.0,88.0,20.0,75.0,0.0,56.0,38.0,0.0,20.0,2.0,96,4.0,3.5,1022,14308.0,3.5,51079.56,3.53,49.98,33.75,0.0023356401384083043
154,January'23,2023-01-25,FO,Pit1,700,10880,83.0,83.0,0.0,83.0,0.0,83.0,20.0,18.0,17.0,17.0,16.0,2.0,83,4.0,4.0,872,13952.0,3.5,49808.64,4.58,57.12,31.12,0.002860294117647059
155,January'23,2023-01-27,SG,Pit3,670,18390,138.0,138.0,138.0,0.0,0.0,138.0,0.0,45.0,70.0,15.0,14.0,2.0,138,4.0,3.5,1518,24288.0,3.5,86708.16,4.71,57.12,51.75,0.0028140293637846656
156,January'23,2023-01-30,HO,Pit1,700,14650,96.0,96.0,93.0,0.0,8.0,91.0,0.0,40.0,31.0,0.0,31.0,2.0,96,4.0,3.5,1056,14784.0,4.0,60318.72,4.12,57.12,36.0,0.0024573378839590444
157,Feb'23,2023-02-02,FO,Pit1,700,7630,57.0,57.0,0.0,57.0,0.0,57.0,0.0,22.0,24.0,15.0,0.0,2.0,57,4.0,4.0,598,9568.0,3.5,34157.76,4.48,57.12,21.38,0.002802096985583224
158,Feb'23,2023-03-02,SG,Pit3,690,19450,130.0,130.0,0.0,130.0,0.0,130.0,27.0,51.0,0.0,24.0,0.0,2.0,130,4.0,4.0,1430,22880.0,3.5,81681.6,4.2,57.12,48.75,0.002506426735218509
159,Feb'23,2023-03-02,SG,Pit2,680,5800,61.0,0.0,0.0,61.0,0.0,0.0,0.0,39.0,26.0,0.0,0.0,2.0,61,4.0,3.5,458,6412.0,3.5,22890.84,3.95,49.98,7.62,0.001313793103448276
160,Feb'23,2023-06-02,HO,Pit1,690,10360,76.0,76.0,76.0,0.0,76.0,0.0,23.0,18.0,19.0,18.0,0.0,2.0,76,4.0,3.5,722,10108.0,4.0,41240.64,3.98,57.12,28.5,0.002750965250965251
161,Feb'23,2023-08-02,HO,Pit1,700,14110,87.0,87.0,0.0,87.0,0.0,87.0,27.0,27.0,20.0,19.0,0.0,2.0,87,4.0,3.5,957,13398.0,4.0,54663.84,3.87,57.12,32.62,0.0023118355776045357
162,Feb'23,2023-10-02,SG,Pit2,690,8920,101.0,0.0,0.0,101.0,0.0,0.0,40.0,24.0,41.0,0.0,0.0,2.0,101,4.0,3.5,757,10598.0,3.5,37834.86,4.24,49.98,12.62,0.0014147982062780269
